salary,monthly_savings,goal_years,risk_level,dependents,investment_experience,emergency_fund_months,debt_to_income,current_equity_value,current_debt_value,sip_amount,sip_active,num_stocks,num_mutual_funds,portfolio_total,equity_pct,sip_ratio,diversification_score,action
97521,16978,4,medium,0,intermediate,10,0.3,67392,236239,1656,True,17,3,303631,22.2,0.017,20,CONTINUE_SIP
76633,46388,2,high,3,expert,7,0.17,147416,422779,0,False,2,5,570195,25.85,0.0,7,BUY
79630,13274,1,low,0,beginner,9,0.54,185766,363446,5272,True,0,2,549212,33.82,0.0662,2,SELL
70906,9700,10,high,2,expert,7,0.07,101304,224677,0,False,4,10,325981,31.08,0.0,14,SWITCH_TO_EQUITY
49189,26193,5,low,1,beginner,5,0.4,192401,366345,464,True,17,0,558746,34.43,0.0094,17,CONTINUE_SIP
81413,8817,3,low,5,expert,11,0.43,431467,361162,0,False,18,3,792629,54.43,0.0,21,SWITCH_TO_DEBT
89206,21774,10,high,5,beginner,9,0.57,151884,17576,0,False,17,4,169460,89.63,0.0,21,REBALANCE
77676,26928,5,high,0,intermediate,8,0.57,473509,263457,0,False,15,8,736966,64.25,0.0,23,HOLD
65785,21829,10,medium,4,beginner,4,0.06,79367,290979,0,False,7,0,370346,21.43,0.0,7,START_SIP
28738,5447,11,high,2,beginner,9,0.41,235295,357239,0,False,1,0,592534,39.71,0.0,1,SWITCH_TO_EQUITY
45654,23118,5,high,2,intermediate,5,0.4,401630,419799,0,False,0,0,821429,48.89,0.0,0,DIVERSIFY_PORTFOLIO
84325,47657,9,low,4,beginner,12,0.52,218951,65670,18478,True,16,1,284621,76.93,0.2191,17,REDUCE_SIP
43777,6164,7,high,4,intermediate,9,0.03,32431,118545,0,False,12,12,150976,21.48,0.0,24,BUY
66491,28839,2,high,1,intermediate,12,0.55,38336,328414,0,False,13,5,366750,10.45,0.0,18,BUY
99865,6777,9,high,4,intermediate,6,0.52,94219,320121,0,False,0,1,414340,22.74,0.0,1,BUY
30807,46154,3,high,5,beginner,5,0.13,2876,60098,6668,True,1,5,62974,4.57,0.2164,6,BUY
25597,40402,5,medium,4,intermediate,9,0.3,158888,439582,1866,True,18,6,598470,26.55,0.0729,24,CONTINUE_SIP
85545,6225,8,low,4,intermediate,8,0.48,450991,104818,0,False,2,9,555809,81.14,0.0,11,REBALANCE
72307,10577,7,high,1,intermediate,5,0.32,299875,454449,18591,True,9,0,754324,39.75,0.2571,9,CONTINUE_SIP
91678,27836,12,high,1,beginner,12,0.43,413257,148008,13370,True,16,2,561265,73.63,0.1458,18,INCREASE_SIP
60379,9647,8,high,2,expert,6,0.01,87499,203999,0,False,4,15,291498,30.02,0.0,19,SWITCH_TO_EQUITY
45017,5746,10,medium,1,beginner,4,0.55,232624,221075,0,False,16,2,453699,51.27,0.0,18,HOLD
94329,4842,14,high,4,expert,9,0.22,126758,260899,0,False,14,6,387657,32.7,0.0,20,SWITCH_TO_EQUITY
27465,3042,8,high,2,expert,10,0.21,484736,23061,0,False,13,1,507797,95.46,0.0,14,REBALANCE
39642,9688,2,low,3,intermediate,6,0.21,366874,223712,0,False,9,13,590586,62.12,0.0,22,SWITCH_TO_DEBT
27933,12429,3,medium,1,expert,5,0.13,315844,491828,0,False,3,11,807672,39.11,0.0,14,HOLD
23841,5954,13,high,2,beginner,12,0.04,130698,270786,0,False,15,15,401484,32.55,0.0,30,SWITCH_TO_EQUITY
72098,45232,12,low,2,expert,12,0.03,382458,488478,2026,True,11,12,870936,43.91,0.0281,23,INCREASE_SIP
41727,11874,2,medium,1,expert,10,0.55,57727,407659,21069,True,1,1,465386,12.4,0.5049,2,REDUCE_SIP
86917,30644,13,high,3,beginner,9,0.32,220653,82975,24758,True,16,1,303628,72.67,0.2848,17,INCREASE_SIP
95147,28640,2,low,4,intermediate,4,0.34,76864,110411,23100,True,1,7,187275,41.04,0.2428,8,HOLD
